web-scraper-order,web-scraper-start-url,ASIN,ASIN-href,price,Product Description,Description,Product Details,Product Details-ASIN
"1692629812-1","https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_20","Half Moon Curiosity 35L Water Resistant 15.6"" Laptop Bag for Men/Backpack for Men, Black | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Slim Durable Backpack","https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMjY2Nzg5MzA5Nzg4MTMxOjE2OTI2Mjk3OTE6c3BfYnRmOjIwMTQ1OTk1NzYyMTk4OjowOjo&url=%2FHalf-Moon-Curiosity-Backpack-Resistant%2Fdp%2FB09S3ZK3N1%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692629791%26sprefix%3Dba%252Caps%252C283%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1","849","","Care Instructions: Hand Wash Only","[{""Product Details"":""Product Dimensions\n                                    ‏\n                                        :\n                                    ‎\n                                 48 x 34 x 23 cm; 670 Grams            Date First Available\n                                    ‏\n                                        :\n                                    ‎\n                                 9 February 2022                                    Manufacturer\n                                    ‏\n                                        :\n                                    ‎\n                                 Half_Moon(Amazing Bags)                         ASIN\n                                    ‏\n                                        :\n                                    ‎\n                                 B09S3ZK3N1            Item model number\n                                    ‏\n                                        :\n                                    ‎\n                                 Curiosity            Country of Origin\n                                    ‏\n                                        :\n                                    ‎\n                                 India            Department\n                                    ‏\n                                        :\n                                    ‎\n                                 Unisex-adult            Manufacturer\n                                    ‏\n                                        :\n                                    ‎\n                                 Half_Moon(Amazing Bags)            Item Weight\n                                    ‏\n                                        :\n                                    ‎\n                                 670 g            Item Dimensions LxWxH\n                                    ‏\n                                        :\n                                    ‎\n                                 48 x 34 x 23 Centimeters            Net Quantity\n                                    ‏\n                                        :\n                                    ‎\n                                 4             Generic Name\n                                    ‏\n                                        :\n                                    ‎\n                                 Laptop bag for menं"",""Product Details-ASIN"":null}]",""
"1692629833-2","https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_20","uppercase Apex Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMjY2Nzg5MzA5Nzg4MTMxOjE2OTI2Mjk3OTE6c3BfYnRmOjIwMTI1ODk5OTIwNjk4OjowOjo&url=%2FUppercase-Professional-Backpack-Resistant-Sustainable%2Fdp%2FB0BWNBQXDZ%2Fref%3Dsr_1_21_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692629791%26sprefix%3Dba%252Caps%252C283%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1","1,800","","Care Instructions: Wipe with Damp Cloth","[{""Product Details"":""Product Dimensions\n                                    ‏\n                                        :\n                                    ‎\n                                 13.5 x 31 x 44 cm; 540 Grams            Date First Available\n                                    ‏\n                                        :\n                                    ‎\n                                 23 February 2023                                    Manufacturer\n                                    ‏\n                                        :\n                                    ‎\n                                 Acefour Accessories Pvt. Ltd.                         ASIN\n                                    ‏\n                                        :\n                                    ‎\n                                 B0BWNBQXDZ            Item model number\n                                    ‏\n                                        :\n                                    ‎\n                                 2700EBP2BLU            Country of Origin\n                                    ‏\n                                        :\n                                    ‎\n                                 India            Department\n                                    ‏\n                                        :\n                                    ‎\n                                 Unisex-adult            Manufacturer\n                                    ‏\n                                        :\n                                    ‎\n                                 Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India. Customer Care: Email : customercare@uppercase.co.in & Contact no. +91 8691 800 800            Packer\n                                    ‏\n                                        :\n                                    ‎\n                                 Acefour Accessories Pvt. Ltd.            Item Weight\n                                    ‏\n                                        :\n                                    ‎\n                                 540 g            Item Dimensions LxWxH\n                                    ‏\n                                        :\n                                    ‎\n                                 13.5 x 31 x 44 Centimeters            Net Quantity\n                                    ‏\n                                        :\n                                    ‎\n                                 1.00 count"",""Product Details-ASIN"":null}]",""
"1692629837-3","https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_20","ADISA 15.6 inch laptop backpack office bag college travel back pack 32 Ltrs","https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1692629791&sprefix=ba%2Caps%2C283&sr=8-20","499","","Care Instructions: Wipe with Damp Cloth","[{""Product Details"":""Product Dimensions\n                                    ‏\n                                        :\n                                    ‎\n                                 32 x 20 x 47 cm; 530 Grams            Date First Available\n                                    ‏\n                                        :\n                                    ‎\n                                 1 March 2022                                    Manufacturer\n                                    ‏\n                                        :\n                                    ‎\n                                 ADISA                         ASIN\n                                    ‏\n                                        :\n                                    ‎\n                                 B09TPX22NF            Item model number\n                                    ‏\n                                        :\n                                    ‎\n                                 BP041            Country of Origin\n                                    ‏\n                                        :\n                                    ‎\n                                 India            Department\n                                    ‏\n                                        :\n                                    ‎\n                                 Men            Manufacturer\n                                    ‏\n                                        :\n                                    ‎\n                                 ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com            Packer\n                                    ‏\n                                        :\n                                    ‎\n                                 ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com            Item Weight\n                                    ‏\n                                        :\n                                    ‎\n                                 530 g            Item Dimensions LxWxH\n                                    ‏\n                                        :\n                                    ‎\n                                 32 x 20 x 47 Centimeters            Net Quantity\n                                    ‏\n                                        :\n                                    ‎\n                                 1.00 count            Included Components\n                                    ‏\n                                        :\n                                    ‎\n                                 Laptop backpack only            Generic Name\n                                    ‏\n                                        :\n                                    ‎\n                                 Laptop backpack"",""Product Details-ASIN"":null}]",""
"1692629841-4","https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_20","Half Moon 35 Ltrs Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips","https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1692629791&sprefix=ba%2Caps%2C283&sr=8-19","649","","Care Instructions: Hand Wash Only","[{""Product Details"":""Product Dimensions\n                                    ‏\n                                        :\n                                    ‎\n                                 21 x 33 x 48 cm; 600 Grams            Date First Available\n                                    ‏\n                                        :\n                                    ‎\n                                 28 February 2020                                    Manufacturer\n                                    ‏\n                                        :\n                                    ‎\n                                 Amazing Bags                         ASIN\n                                    ‏\n                                        :\n                                    ‎\n                                 B085MHDJ93            Item model number\n                                    ‏\n                                        :\n                                    ‎\n                                 bag for men            Country of Origin\n                                    ‏\n                                        :\n                                    ‎\n                                 India            Department\n                                    ‏\n                                        :\n                                    ‎\n                                 Unisex Adult and Child            Manufacturer\n                                    ‏\n                                        :\n                                    ‎\n                                 Amazing Bags, Half_Moon, New Delhi            Item Weight\n                                    ‏\n                                        :\n                                    ‎\n                                 600 g            Item Dimensions LxWxH\n                                    ‏\n                                        :\n                                    ‎\n                                 21 x 33 x 48 Centimeters            Net Quantity\n                                    ‏\n                                        :\n                                    ‎\n                                 1 Count            Generic Name\n                                    ‏\n                                        :\n                                    ‎\n                                 Laptop bag"",""Product Details-ASIN"":null}]",""
"1692629846-5","https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_20","Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)","https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1692629791&sprefix=ba%2Caps%2C283&sr=8-18","398","","Made of multi-coated 600D polyester Material ; Water Repellent","[]",""
"1692629850-6","https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_20","American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1692629791&sprefix=ba%2Caps%2C283&sr=8-17","1,399","A backpack isn’t just a bag. It’s a cache, a case, a mobile base of sorts. And it is a reflection of the care you’ve put into selecting the ideal loadout of items to keep on you. Introducing Valex, a modern everyday backpacks collections are available in a variety of nice looking colours to express your true self","Care Instructions: Hand Wash Only","[{""Product Details"":""Product Dimensions\n                                    ‏\n                                        :\n                                    ‎\n                                 20 x 32.5 x 47.5 cm; 510 Grams            Date First Available\n                                    ‏\n                                        :\n                                    ‎\n                                 30 January 2023                                    Manufacturer\n                                    ‏\n                                        :\n                                    ‎\n                                 EXPERTS                         ASIN\n                                    ‏\n                                        :\n                                    ‎\n                                 B0BTD4FK9G            Item model number\n                                    ‏\n                                        :\n                                    ‎\n                                 LT9 (0) 01 002            Country of Origin\n                                    ‏\n                                        :\n                                    ‎\n                                 China            Department\n                                    ‏\n                                        :\n                                    ‎\n                                 Mens            Manufacturer\n                                    ‏\n                                        :\n                                    ‎\n                                 EXPERTS, China            Packer\n                                    ‏\n                                        :\n                                    ‎\n                                 China            Importer\n                                    ‏\n                                        :\n                                    ‎\n                                 Importer Name ltd., Street No. 24/4, New Delhi, India - 110011, Contact: +91-111-000-2400, service@importer.com            Item Weight\n                                    ‏\n                                        :\n                                    ‎\n                                 510 g            Item Dimensions LxWxH\n                                    ‏\n                                        :\n                                    ‎\n                                 20 x 32.5 x 47.5 Centimeters            Net Quantity\n                                    ‏\n                                        :\n                                    ‎\n                                 1 Count            Generic Name\n                                    ‏\n                                        :\n                                    ‎\n                                 BACKPACK"",""Product Details-ASIN"":null}]",""
"1692629854-7","https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_20","Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack","https://www.amazon.in/Safari-45L-21-OB-BLK/dp/B07BZ5VC4H/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1692629791&sprefix=ba%2Caps%2C283&sr=8-16","2,099","","Care Instructions: Hand Wash Only","[{""Product Details"":""Is Discontinued By Manufacturer\n                                    ‏\n                                        :\n                                    ‎\n                                 No            Product Dimensions\n                                    ‏\n                                        :\n                                    ‎\n                                 27 x 32 x 53 cm; 490 Grams            Date First Available\n                                    ‏\n                                        :\n                                    ‎\n                                 5 April 2018                                    Manufacturer\n                                    ‏\n                                        :\n                                    ‎\n                                 Safari Industries (India) Ltd                         ASIN\n                                    ‏\n                                        :\n                                    ‎\n                                 B07BZ5VC4H            Item model number\n                                    ‏\n                                        :\n                                    ‎\n                                 SEEK 45L 21 OB BLK            Country of Origin\n                                    ‏\n                                        :\n                                    ‎\n                                 India            Department\n                                    ‏\n                                        :\n                                    ‎\n                                 Unisex-adult            Manufacturer\n                                    ‏\n                                        :\n                                    ‎\n                                 Safari Industries (India) Ltd, Safari Industries Ltd 301/302, A-Wing, The Qube, M.V.Road, Marol, Andheri(East), Near international Airport Mumbai- 400059 +91-22-40381851/838            Packer\n                                    ‏\n                                        :\n                                    ‎\n                                 Safari Industries Ltd 301/302, A-Wing, The Qube, M.V.Road, Marol, Andheri(East), Near international Airport Mumbai- 400059 +91-22-40381851/838            Importer\n                                    ‏\n                                        :\n                                    ‎\n                                 Imported and Marketed by Safari Industries Ltd 301/302, A-Wing, The Qube, M.V.Road, Marol, Andheri(East), Near international Airport Mumbai- 400059 +91-22-40381851/838            Item Weight\n                                    ‏\n                                        :\n                                    ‎\n                                 490 g            Item Dimensions LxWxH\n                                    ‏\n                                        :\n                                    ‎\n                                 27 x 32 x 53 Centimeters            Net Quantity\n                                    ‏\n                                        :\n                                    ‎\n                                 1 Count            Included Components\n                                    ‏\n                                        :\n                                    ‎\n                                 Safari 45.792 Ltrs Black Casual Backpack (Seek 45L 21 OB BLK)            Generic Name\n                                    ‏\n                                        :\n                                    ‎\n                                 Backpack"",""Product Details-ASIN"":null}]",""
"1692629858-8","https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_20","Gear Classic 20L Small Size Faux Leather Water Resistant Anti Theft Unisex Laptop Backpack- Brown","https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1692629791&sprefix=ba%2Caps%2C283&sr=8-15","979","Gear bags are designed for the quick commute as well for the long journey. these backpacks can be used as laptop bags,adventure bags and so on. Your favorite travel companion, The backpacks come with enough storage space to carry all your requirements.","Care Instructions: Hand Wash Only","[{""Product Details"":""Product Dimensions\n                                    ‏\n                                        :\n                                    ‎\n                                 48 x 32 x 14 cm; 340 Grams            Date First Available\n                                    ‏\n                                        :\n                                    ‎\n                                 2 August 2018                                    Manufacturer\n                                    ‏\n                                        :\n                                    ‎\n                                 Gear Merchandise PVT LTD                         ASIN\n                                    ‏\n                                        :\n                                    ‎\n                                 B07G4F6XFH            Item model number\n                                    ‏\n                                        :\n                                    ‎\n                                 LBPCLSLTH0201            Country of Origin\n                                    ‏\n                                        :\n                                    ‎\n                                 India            Department\n                                    ‏\n                                        :\n                                    ‎\n                                 Unisex-adult            Manufacturer\n                                    ‏\n                                        :\n                                    ‎\n                                 Gear Merchandise PVT LTD, Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366            Packer\n                                    ‏\n                                        :\n                                    ‎\n                                 Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366            Item Weight\n                                    ‏\n                                        :\n                                    ‎\n                                 340 g            Item Dimensions LxWxH\n                                    ‏\n                                        :\n                                    ‎\n                                 48 x 32 x 14 Centimeters            Net Quantity\n                                    ‏\n                                        :\n                                    ‎\n                                 1 count            Included Components\n                                    ‏\n                                        :\n                                    ‎\n                                 Laptop Backpack            Generic Name\n                                    ‏\n                                        :\n                                    ‎\n                                 Laptop Backpack"",""Product Details-ASIN"":null}]",""
"1692629863-9","https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_20","Sfane Polyester 23cms Duffle/Shoulder/Gym Bag for Men & Women with Separate Shoe Compartment (Grey)","https://www.amazon.in/SFANE-Duffel-Shoulder-Women-Compartment/dp/B07XXFB9CZ/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1692629791&sprefix=ba%2Caps%2C283&sr=8-14","387","Sfane Sports Bag practical everyday sizing make it great for hauling just about anything.Big compartments holds Sports Clothing, Gloves, Shaker, Sports ball, Sports Accessories, etc. Or anything that might be wet or soiled. High quality provide years of dependable service. Made in India.","Premium Durable Material - Travel duffel bag is made of high quality,durable material.","[{""Product Details"":""Is Discontinued By Manufacturer\n                                    ‏\n                                        :\n                                    ‎\n                                 No            Product Dimensions\n                                    ‏\n                                        :\n                                    ‎\n                                 43 x 23 x 25 cm; 370 Grams            Date First Available\n                                    ‏\n                                        :\n                                    ‎\n                                 11 September 2019                                    Manufacturer\n                                    ‏\n                                        :\n                                    ‎\n                                 Sfane            ASIN\n                                    ‏\n                                        :\n                                    ‎\n                                 B07XXFB9CZ            Item model number\n                                    ‏\n                                        :\n                                    ‎\n                                 BG - 05 HALF LTSHOE COMPTT            Country of Origin\n                                    ‏\n                                        :\n                                    ‎\n                                 India            Department\n                                    ‏\n                                        :\n                                    ‎\n                                 Unisex            Manufacturer\n                                    ‏\n                                        :\n                                    ‎\n                                 Sfane, Sfane Trends            Packer\n                                    ‏\n                                        :\n                                    ‎\n                                 Sfane Trends            Importer\n                                    ‏\n                                        :\n                                    ‎\n                                 Sfane Trends            Item Weight\n                                    ‏\n                                        :\n                                    ‎\n                                 370 g            Item Dimensions LxWxH\n                                    ‏\n                                        :\n                                    ‎\n                                 43 x 23 x 25 Centimeters            Net Quantity\n                                    ‏\n                                        :\n                                    ‎\n                                 1.00 count"",""Product Details-ASIN"":null}]",""
"1692629867-10","https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_20","Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black","https://www.amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1692629791&sprefix=ba%2Caps%2C283&sr=8-13","199","","Outer Material: Polyester, Color: Black and Yellow.Ideal for 3-5 year old children.","[{""Product Details"":""Is Discontinued By Manufacturer\n                                    ‏\n                                        :\n                                    ‎\n                                 No            Product Dimensions\n                                    ‏\n                                        :\n                                    ‎\n                                 49 x 33 x 10 cm; 82 Grams            Date First Available\n                                    ‏\n                                        :\n                                    ‎\n                                 17 December 2015                                    Manufacturer\n                                    ‏\n                                        :\n                                    ‎\n                                 Gear Merchandise PVT LTD                         ASIN\n                                    ‏\n                                        :\n                                    ‎\n                                 B019HA8AYG            Item model number\n                                    ‏\n                                        :\n                                    ‎\n                                 BKPCARYON0110            Country of Origin\n                                    ‏\n                                        :\n                                    ‎\n                                 India            Department\n                                    ‏\n                                        :\n                                    ‎\n                                 Unisex-adult            Manufacturer\n                                    ‏\n                                        :\n                                    ‎\n                                 Gear Merchandise PVT LTD, Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366            Packer\n                                    ‏\n                                        :\n                                    ‎\n                                 Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366            Item Weight\n                                    ‏\n                                        :\n                                    ‎\n                                 82 g            Item Dimensions LxWxH\n                                    ‏\n                                        :\n                                    ‎\n                                 49 x 33 x 10 Centimeters            Net Quantity\n                                    ‏\n                                        :\n                                    ‎\n                                 1 count            Included Components\n                                    ‏\n                                        :\n                                    ‎\n                                 Backpack            Generic Name\n                                    ‏\n                                        :\n                                    ‎\n                                 Bag"",""Product Details-ASIN"":null}]",""
